environment,obstacleTrain,,seedTraining,seedTesting,score,success,bodyChanged
half_cheetah,none,,4,25,2986.36,16.0,"torso,small"
half_cheetah,none,,4,26,2967.17,16.0,"torso,small"
half_cheetah,none,,4,27,2857.63,15.0,"torso,small"
half_cheetah,none,,4,28,2826.5,15.0,"torso,small"
half_cheetah,none,,4,29,2803.93,15.0,"torso,small"
half_cheetah,none,,0,0,3810.81,21.0,"thigh,big"
half_cheetah,none,,0,1,4036.47,22.0,"thigh,big"
half_cheetah,none,,0,2,3657.32,20.0,"thigh,big"
half_cheetah,none,,0,3,3444.92,19.0,"thigh,big"
half_cheetah,none,,0,4,3401.35,19.0,"thigh,big"
half_cheetah,none,,0,6,3692.7,20.0,"thigh,big"
half_cheetah,none,,0,5,3832.39,21.0,"thigh,big"
half_cheetah,none,,0,9,3861.2,21.0,"thigh,big"
half_cheetah,none,,0,7,3834.11,21.0,"thigh,big"
half_cheetah,none,,0,8,3816.39,21.0,"thigh,big"
half_cheetah,none,,0,10,3528.22,19.0,"thigh,big"
half_cheetah,none,,0,12,3523.94,19.0,"thigh,big"
half_cheetah,none,,0,11,3868.19,21.0,"thigh,big"
half_cheetah,none,,0,13,3532.2,19.0,"thigh,big"
half_cheetah,none,,0,14,3560.41,19.0,"thigh,big"
half_cheetah,none,,0,15,3720.0,20.0,"thigh,big"
half_cheetah,none,,0,16,3886.53,21.0,"thigh,big"
half_cheetah,none,,0,18,3943.4,21.0,"thigh,big"
half_cheetah,none,,0,17,3668.32,20.0,"thigh,big"
half_cheetah,none,,0,19,3662.16,20.0,"thigh,big"
half_cheetah,none,,0,20,3985.91,22.0,"thigh,big"
