environment,obstacleTrain,obstacleTest,seedTraining,seedTesting,score,success
half_cheetah,1,4,4,3,38.1124,0.0
half_cheetah,1,4,4,4,23.8045,0.0
half_cheetah,1,4,4,5,38.8401,0.0
half_cheetah,1,4,4,6,18.7952,0.0
half_cheetah,1,4,4,7,18.1833,0.0
half_cheetah,1,4,4,9,49.9918,0.0
half_cheetah,2,0,0,1,68.3129,0.0
half_cheetah,2,0,0,2,83.8149,0.0
half_cheetah,2,0,0,0,61.6635,0.0
half_cheetah,1,4,4,8,53.2351,0.0
half_cheetah,2,0,0,3,71.4054,0.0
half_cheetah,2,0,0,5,69.517,0.0
half_cheetah,2,0,0,4,54.7641,0.0
half_cheetah,2,0,0,7,73.2483,0.0
half_cheetah,2,0,0,9,62.6884,0.0
half_cheetah,2,0,0,6,71.8917,0.0
half_cheetah,2,0,0,8,67.3871,0.0
half_cheetah,2,0,1,0,60.6504,0.0
half_cheetah,2,0,1,1,76.6183,0.0
half_cheetah,2,0,1,3,59.5117,0.0
half_cheetah,2,0,1,2,70.2513,0.0
half_cheetah,2,0,1,4,69.3658,0.0
half_cheetah,2,0,1,6,62.2097,0.0
half_cheetah,2,0,1,5,53.4122,0.0
half_cheetah,2,0,1,7,58.3623,0.0
half_cheetah,2,0,1,8,62.5063,0.0
half_cheetah,2,0,1,9,272.637,1.0
half_cheetah,2,0,2,1,75.1135,0.0
half_cheetah,2,0,2,0,59.8631,0.0
half_cheetah,2,0,2,4,66.3838,0.0
half_cheetah,2,0,2,2,28.8428,0.0
half_cheetah,2,0,2,3,54.2474,0.0
half_cheetah,2,0,2,5,54.3218,0.0
half_cheetah,2,0,2,6,62.5583,0.0
half_cheetah,2,0,2,7,65.1751,0.0
half_cheetah,2,0,2,9,77.9724,0.0
half_cheetah,2,0,3,0,61.0808,0.0
half_cheetah,2,0,2,8,40.2881,0.0
half_cheetah,2,0,3,1,68.6866,0.0
half_cheetah,2,0,3,3,62.8347,0.0
half_cheetah,2,0,3,2,82.3755,0.0
half_cheetah,2,0,3,4,65.4442,0.0
half_cheetah,2,0,3,5,62.7945,0.0
half_cheetah,2,0,3,6,62.1374,0.0
half_cheetah,2,0,3,7,63.5492,0.0
